bin,bank,country,type,level
453314,CREDIT AGRICOLE, S.A.,FRANCE,Credit,CLASSIC
453318,CREDIT AGRICOLE, S.A.,FRANCE,Credit,INFINITE
453338,CREDIT AGRICOLE, S.A.,FRANCE,Credit,GOLD
453352,CREDIT AGRICOLE, S.A.,FRANCE,Debit,GOLD
455677,CREDIT MUTUEL ARKEA,FRANCE,Debit,CLASSIC
456100,HSBC FRANCE,FRANCE,Credit,GOLD
456122,HSBC FRANCE,FRANCE,Debit,GOLD
456140,SOCIETE GENERALE, S.A.,FRANCE,Credit,GOLD
456144,SOCIETE GENERALE, S.A.,FRANCE,Credit,INFINITE
456188,SOCIETE GENERALE, S.A.,FRANCE,Debit,GOLD
456201,SOCIETE GENERALE, S.A.,FRANCE,Debit,GOLD
456955,COMPAGNIE MONEGASQUE DE BANQUE,FRANCE,Credit,INFINITE
460997,FRANCE,FRANCE,Debit,CLASSIC
463337,FRANCE,FRANCE,Credit,INFINITE
463338,FRANCE,FRANCE,Credit,INFINITE
463339,FRANCE,FRANCE,Credit,PLATINUM
463340,FRANCE,FRANCE,Credit,PLATINUM
463341,FRANCE,FRANCE,Credit,GOLD
463342,FRANCE,FRANCE,Credit,GOLD
463343,FRANCE,FRANCE,Debit,GOLD
463344,FRANCE,FRANCE,Debit,GOLD
477173,SOCIETE GENERALE, S.A.,FRANCE,Debit,INFINITE
478554,FRANCE,FRANCE,Debit,CLASSIC
481001,FRANCE,FRANCE,Credit,GOLD
481092,BNP PARIBAS,FRANCE,Debit,PLATINUM
497030,LA BANQUE POSTALE,FRANCE,Debit,PLATINUM
497037,LA BANQUE POSTALE,FRANCE,Debit,CLASSIC
497040,LA BANQUE POSTALE,FRANCE,Debit,CLASSIC
497041,LA BANQUE POSTALE,FRANCE,Credit,CLASSIC
497043,LA BANQUE POSTALE,FRANCE,Debit,GOLD
497045,LA BANQUE POSTALE,FRANCE,Debit,GOLD
497049,LA BANQUE POSTALE,FRANCE,Debit,ELECTRON
497061,LA BANQUE POSTALE,FRANCE,Debit,CLASSIC
